                                    name ROOTtype arraytype isarray        countname countROOTtype countarraytype
                              muon_pdgId    Int_t         i    yes             nmuon         Int_t              i
                                 muon_pt Double_t         d    yes             nmuon         Int_t              i
                                muon_eta Double_t         d    yes             nmuon         Int_t              i
                                muon_phi Double_t         d    yes             nmuon         Int_t              i
                               muon_mass Double_t         d    yes             nmuon         Int_t              i
                           muon_eleMVAId    Int_t         i    yes             nmuon         Int_t              i
                              muon_mvaId Double_t         d    yes             nmuon         Int_t              i
                          muon_mvaIdTrig Double_t         d    yes             nmuon         Int_t              i
                        muon_mvaIdPhys14 Double_t         d    yes             nmuon         Int_t              i
                         muon_miniRelIso Double_t         d    yes             nmuon         Int_t              i
                             muon_mvaTTH Double_t         d    yes             nmuon         Int_t              i
                            muon_mvaSusy Double_t         d    yes             nmuon         Int_t              i
                         muon_jetPtRatio Double_t         d    yes             nmuon         Int_t              i
                           muon_jetPtRel Double_t         d    yes             nmuon         Int_t              i
                         muon_jetBTagCSV Double_t         d    yes             nmuon         Int_t              i
                        muon_jetBTagCMVA Double_t         d    yes             nmuon         Int_t              i
                              muon_jetDR Double_t         d    yes             nmuon         Int_t              i
                                    ntau    Int_t         i      no             None          None           None
                              tau_charge    Int_t         i    yes              ntau         Int_t              i
                           tau_decayMode    Int_t         i    yes              ntau         Int_t              i
                         tau_idDecayMode    Int_t         i    yes              ntau         Int_t              i
                   tau_idDecayModeNewDMs    Int_t         i    yes              ntau         Int_t              i
                                 tau_dxy Double_t         d    yes              ntau         Int_t              i
                                  tau_dz Double_t         d    yes              ntau         Int_t              i
                               tau_idMVA    Int_t         i    yes              ntau         Int_t              i
                          tau_idMVANewDM    Int_t         i    yes              ntau         Int_t              i
                            tau_idCI3hit    Int_t         i    yes              ntau         Int_t              i
                            tau_idAntiMu    Int_t         i    yes              ntau         Int_t              i
                             tau_idAntiE    Int_t         i    yes              ntau         Int_t              i
                           tau_isoCI3hit Double_t         d    yes              ntau         Int_t              i
                           tau_mcMatchId    Int_t         i    yes              ntau         Int_t              i
                               tau_pdgId    Int_t         i    yes              ntau         Int_t              i
                                  tau_pt Double_t         d    yes              ntau         Int_t              i
                                 tau_eta Double_t         d    yes              ntau         Int_t              i
                                 tau_phi Double_t         d    yes              ntau         Int_t              i
                                tau_mass Double_t         d    yes              ntau         Int_t              i
                                 ngenLep    Int_t         i      no             None          None           None
                         genLep_motherId    Int_t         i    yes           ngenLep         Int_t              i
                    genLep_grandmotherId    Int_t         i    yes           ngenLep         Int_t              i
