                             component              met       n    nvar
            QCD_HT300to500_madgraphMLM    2.51188643151   37865   37865
            QCD_HT300to500_madgraphMLM    3.16227766017   59524   59524
            QCD_HT300to500_madgraphMLM    3.98107170553   92980   92980
            QCD_HT300to500_madgraphMLM    5.01187233627  146208  146208
            QCD_HT300to500_madgraphMLM     6.3095734448  224944  224944
            QCD_HT300to500_madgraphMLM    7.94328234724  344708  344708
            QCD_HT300to500_madgraphMLM               10  515362  515362
            QCD_HT300to500_madgraphMLM    12.5892541179  747915  747915
            QCD_HT300to500_madgraphMLM    15.8489319246 1041253 1041253
            QCD_HT300to500_madgraphMLM    19.9526231497 1351406 1351406
            QCD_HT300to500_madgraphMLM    25.1188643151 1589607 1589607
            QCD_HT300to500_madgraphMLM    31.6227766017 1616981 1616981
            QCD_HT300to500_madgraphMLM    39.8107170553 1347218 1347218
            QCD_HT300to500_madgraphMLM    50.1187233627  849883  849883
            QCD_HT300to500_madgraphMLM     63.095734448  373052  373052
            QCD_HT300to500_madgraphMLM    79.4328234724  103445  103445
            QCD_HT300to500_madgraphMLM            100.0   17786   17786
            QCD_HT300to500_madgraphMLM    125.892541179    2098    2098
            QCD_HT300to500_madgraphMLM    158.489319246     223     223
            QCD_HT300to500_madgraphMLM    199.526231497      20      20
            QCD_HT300to500_madgraphMLM    251.188643151       3       3
            QCD_HT300to500_madgraphMLM    316.227766017       4       4
            QCD_HT300to500_madgraphMLM    398.107170553       1       1
            QCD_HT300to500_madgraphMLM    501.187233627       0       0
            QCD_HT500to700_madgraphMLM  0.0158489319246       1       1
            QCD_HT500to700_madgraphMLM  0.0199526231497       3       3
            QCD_HT500to700_madgraphMLM  0.0251188643151       7       7
            QCD_HT500to700_madgraphMLM  0.0316227766017       3       3
            QCD_HT500to700_madgraphMLM  0.0398107170553       5       5
            QCD_HT500to700_madgraphMLM  0.0501187233627      23      23
            QCD_HT500to700_madgraphMLM   0.063095734448      25      25
            QCD_HT500to700_madgraphMLM  0.0794328234724      44      44
            QCD_HT500to700_madgraphMLM              0.1      83      83
            QCD_HT500to700_madgraphMLM   0.125892541179     125     125
            QCD_HT500to700_madgraphMLM   0.158489319246     176     176
            QCD_HT500to700_madgraphMLM   0.199526231497     294     294
            QCD_HT500to700_madgraphMLM   0.251188643151     420     420
            QCD_HT500to700_madgraphMLM   0.316227766017     648     648
            QCD_HT500to700_madgraphMLM   0.398107170553    1114    1114
            QCD_HT500to700_madgraphMLM   0.501187233627    1686    1686
            QCD_HT500to700_madgraphMLM    0.63095734448    2662    2662
            QCD_HT500to700_madgraphMLM   0.794328234724    4238    4238
            QCD_HT500to700_madgraphMLM              1.0    6915    6915
            QCD_HT500to700_madgraphMLM    1.25892541179   10617   10617
            QCD_HT500to700_madgraphMLM    1.58489319246   16860   16860
            QCD_HT500to700_madgraphMLM    1.99526231497   26429   26429
            QCD_HT500to700_madgraphMLM    2.51188643151   42055   42055
            QCD_HT500to700_madgraphMLM    3.16227766017   66800   66800
            QCD_HT500to700_madgraphMLM    3.98107170553  103695  103695
            QCD_HT500to700_madgraphMLM    5.01187233627  162446  162446
            QCD_HT500to700_madgraphMLM     6.3095734448  252041  252041
            QCD_HT500to700_madgraphMLM    7.94328234724  386424  386424
            QCD_HT500to700_madgraphMLM               10  587015  587015
            QCD_HT500to700_madgraphMLM    12.5892541179  866033  866033
            QCD_HT500to700_madgraphMLM    15.8489319246 1227061 1227061
            QCD_HT500to700_madgraphMLM    19.9526231497 1647926 1647926
            QCD_HT500to700_madgraphMLM    25.1188643151 2034455 2034455
            QCD_HT500to700_madgraphMLM    31.6227766017 2232525 2232525
            QCD_HT500to700_madgraphMLM    39.8107170553 2073115 2073115
            QCD_HT500to700_madgraphMLM    50.1187233627 1531961 1531961
            QCD_HT500to700_madgraphMLM     63.095734448  839905  839905
            QCD_HT500to700_madgraphMLM    79.4328234724  322380  322380
            QCD_HT500to700_madgraphMLM            100.0   89888   89888
            QCD_HT500to700_madgraphMLM    125.892541179   22681   22681
            QCD_HT500to700_madgraphMLM    158.489319246    5640    5640
            QCD_HT500to700_madgraphMLM    199.526231497     988     988
            QCD_HT500to700_madgraphMLM    251.188643151     110     110
            QCD_HT500to700_madgraphMLM    316.227766017      12      12
            QCD_HT500to700_madgraphMLM    398.107170553      12      12
            QCD_HT500to700_madgraphMLM    501.187233627       5       5
            QCD_HT500to700_madgraphMLM     630.95734448       5       5
            QCD_HT500to700_madgraphMLM    794.328234724       1       1
            QCD_HT500to700_madgraphMLM           1000.0       0       0
           QCD_HT700to1000_madgraphMLM 0.00794328234724       1       1
           QCD_HT700to1000_madgraphMLM             0.01       2       2
           QCD_HT700to1000_madgraphMLM  0.0125892541179       0       0
